Strategy,Average Weighted ADV USD,Minimum Weighted ADV USD,Average Weighted Spread Proxy Bps,Max Weighted Spread Proxy Bps,Average Turnover-Weighted Participation Bps,Max Turnover-Weighted Participation Bps,Impact Proxy Notional USD
FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,4642011630.4201145,1653311895.69562,130.676211028936,403.65265763332815,0.22686340455472812,2.7564951670079334,1000000.0
FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,1541306035.160748,791618020.7440016,132.52082665800592,409.3740196264025,0.2850685586177319,3.331281841558722,1000000.0
Inverse volatility universe,2709965957.4973226,1637471395.7466679,87.35754624462835,243.86223119394845,0.3374378370284647,2.332612958847967,1000000.0
SPY only,35545341739.84786,19137785987.69536,129.27897924207687,535.086091771289,0.5225264827618775,0.5225264827618775,1000000.0
Equal weight universe,3552115736.8471913,1810529856.9935982,130.97607481407744,477.0958705450058,1.4159562735704816,1.4159562735704816,1000000.0
60/40 SPY/TLT,22424733517.932095,11967158248.406002,117.43562646555537,503.7876676268861,1.5090953490960886,1.5090953490960886,1000000.0
FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,3543064921.7633786,688821991.2475444,176.93415882020955,318.17879079021435,2.374898285325408,14.905974329276168,1000000.0
12M momentum top-k portfolio,3978338197.224461,784342569.8701127,157.10956114400673,355.4229206306659,2.6071551550207075,17.20290986808144,1000000.0
FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,3053935576.4414306,646081261.9140239,171.97819295617384,270.43651373635873,2.7267450895130647,38.55817697516317,1000000.0
FeatureSensitivity[full][TabPFN direct],3511045183.4476137,751950584.2539028,186.0392372019128,341.38188929248355,2.841022035894837,20.643314444052447,1000000.0
FeatureSensitivity[ticker_ablated][TabPFN direct],2918133340.8873796,653103786.1714699,182.06692628951117,318.02588892338713,2.8897142213015394,33.55236099201185,1000000.0
FeatureSensitivity[metadata_only][XGBoost light],4947445105.855628,1521035410.7419944,146.00991258657052,450.0187628228062,3.5578274296993877,3.5578274296993877,1000000.0
FeatureSensitivity[metadata_only][TabPFN direct],1504375862.2799094,747203477.5581193,148.67294786629856,463.02878635146305,3.9701681884924467,3.9701681884924467,1000000.0
Rule[6M momentum top-k] | inverse-vol capped top-k,4262745986.1529403,707657242.4834038,136.26250076708172,246.47118993217097,4.0605126979710695,41.39708643101673,1000000.0
Rule[6M momentum top-k],4101321733.9162045,729308536.5105469,150.91855261008575,295.4466832794891,4.195589496819504,34.83706929159087,1000000.0
FeatureSensitivity[full][XGBoost light],1295498998.3916655,552273281.511569,166.44956451142238,245.79347284631575,4.213049975365148,24.916036563765903,1000000.0
FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,1277520370.8049095,521511843.23481303,158.83768158938977,238.29741636079524,4.439196129053872,29.811591557911385,1000000.0
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,3174884207.073772,770536658.7404722,154.34057370813596,235.8963123419824,4.521137160931149,44.11713802632049,1000000.0
FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,3238579436.1774755,573696286.6473252,177.622238378612,295.1017452244233,4.61588695699941,74.68321305266583,1000000.0
FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,3238579436.1774755,573696286.6473252,177.622238378612,295.1017452244233,4.61588695699941,74.68321305266583,1000000.0
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,3238579436.1774755,573696286.6473252,177.622238378612,295.1017452244233,4.61588695699941,74.68321305266583,1000000.0
FeatureSensitivity[strict_time_series][TabPFN direct],3147751082.7976727,639708013.0672243,186.74654129685518,310.71407130079655,4.947136571904561,63.092463158712135,1000000.0
FeatureSensitivity[identity_ablated][TabPFN direct],3147751082.7976727,639708013.0672243,186.74654129685518,310.71407130079655,4.947136571904561,63.092463158712135,1000000.0
TabPFN[Direct allocation scorer],3147751082.7976727,639708013.0672243,186.74654129685518,310.71407130079655,4.947136571904561,63.092463158712135,1000000.0
TabPFN[Direct allocation scorer] Calibration Base,3034927333.1468573,728946863.39996,169.80295090665632,318.02588892338713,5.045877412712867,47.19500765118015,1000000.0
FeatureSensitivity[ticker_ablated][XGBoost light],1431781304.7079139,552273281.511569,169.25886464497285,296.11581208156105,5.054266267693905,27.19600325209496,1000000.0
FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k,1420082087.7782717,578592929.0377439,159.66528790360633,248.11505439809577,5.176930028522149,32.16065117641447,1000000.0
Rule[Risk-adjusted momentum top-k],3891584027.7697754,714093889.5511355,148.38379729334247,305.6745082625183,5.319352606195596,63.524849774604554,1000000.0
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,4102482265.4347568,660675545.8883322,134.8632638325886,246.47118993217097,5.887227472446426,87.29317031362505,1000000.0
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,1906289468.8806186,502497831.55390346,164.8964978046377,299.66704408101606,6.084880767580392,29.900147574511973,1000000.0
XGBoost[GPU allocation scorer],1907444031.5189521,548023239.3211172,175.66427484606166,366.88299427287205,6.128223863712713,28.947342657240934,1000000.0
XGBoost[GPU allocation scorer] Calibrated,2125402256.097852,540985872.401871,170.27359980908878,361.4541178576528,6.241225162473794,45.78460334663107,1000000.0
XGBoost[GPU allocation scorer] Calibration Base,2125402256.097852,540985872.401871,170.27359980908878,361.4541178576528,6.241225162473794,45.78460334663107,1000000.0
FeatureSensitivity[identity_ablated][XGBoost light],1286850479.2952194,516374999.73844445,166.5765038318545,296.11581208156105,6.3591981420045105,37.859435839212644,1000000.0
FeatureSensitivity[strict_time_series][XGBoost light],1286850479.2952194,516374999.73844445,166.5765038318545,296.11581208156105,6.3591981420045105,37.859435839212644,1000000.0
Low volatility top-k portfolio,1842904828.8791983,814880771.0303328,50.38607916208445,198.18266277784156,6.730792218130792,44.893407625690074,1000000.0
FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,1263253308.9135034,586562549.972557,158.02191568483315,233.330648522143,6.8831484771412805,48.06169851425817,1000000.0
FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,1263253308.9135034,586562549.972557,158.02191568483315,233.330648522143,6.8831484771412805,48.06169851425817,1000000.0
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2173105123.7549987,545532312.3043798,159.72886179584873,296.19256743362774,7.758537906776479,61.37438723016025,1000000.0
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,2173105123.7549987,545532312.3043798,159.72886179584873,296.19256743362774,7.758537906776479,61.37438723016025,1000000.0
