Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.28353727531523043,0.6207986111111111,0.18693015556254286,0.9268194856590052,0.16731339443783894,461.222613914,0.041410274499980915,0.0,461.2640241885,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,600,120,0.2,probability,0.28353727531523043,0.6207986111111111,0.15813609074123486,0.4946994147461762,0.06555287800729276,461.222613914,0.011756585000057385,0.03003065500001867,461.2644011540001,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",sigmoid calibration fitted on calibration window
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,600,120,0.2,probability,0.27761575323636056,0.6124305555555555,0.15676367504299266,0.49301589736970347,0.04194910747619966,9.386718316000042,49.57527847699998,0.0,58.961996793000026,,,direct TFM context excludes calibration-window labels
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.20456353554300222,0.4763541666666667,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18976827610790892,0.4284027777777778,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.18321871721112923,0.4214930555555555,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,600,120,0.2,raw_score,0.17803180576974692,0.4381770833333334,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
FeatureSensitivity[full][TabPFN direct],TabPFN,feature_policy_sensitivity,full,holdout,1875,375,0.2,probability,0.30207607364034067,0.6346435555555556,0.15505892525324919,0.4870365734340665,0.02804607094724973,10.203116443999988,64.62936571900002,0.0,74.83248216300001,,,direct TabPFN feature-policy sensitivity rerun
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.30206057650137474,0.6383635555555556,0.15549458104688788,0.49016978623216506,0.03997606748292844,9.386718316000042,49.57527847699998,0.0,58.961996793000026,,,direct TFM context excludes calibration-window labels
FeatureSensitivity[identity_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,identity_ablated,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.466518644000075,68.13679783400005,0.0,78.60331647800012,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[strict_time_series][TabPFN direct],TabPFN,feature_policy_sensitivity,strict_time_series,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.18714354199983,68.05487357399988,0.0,78.24201711599972,,,direct TabPFN feature-policy sensitivity rerun
TabPFN[Direct allocation scorer],TabPFN,direct_tfm,none,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.087622382000063,67.82350613299991,0.0,77.91112851499997,,,direct TFM classifier fitted on all pre-holdout rows; no task-specific weight training claim is made
FeatureSensitivity[ticker_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,ticker_ablated,holdout,1875,375,0.2,probability,0.2938228724171489,0.6303804444444445,0.1555102797585372,0.4885289851647518,0.03300717872381211,9.866778818000057,68.33828807300006,0.0,78.20506689100011,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][TabPFN direct],TabPFN,feature_policy_sensitivity,metadata_only,holdout,1875,375,0.2,probability,0.29048248534606536,0.6255333333333334,0.15440048306471876,0.48490945213509973,0.044304641085863114,1.0490680820000762,4.988868222000065,0.0,6.037936304000141,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][XGBoost light],XGBoost,feature_policy_sensitivity,metadata_only,holdout,1875,375,0.2,probability,0.28150603667590357,0.6204000000000001,0.23974457677625474,0.6694629507686506,0.28077124923467633,0.38448742400009905,0.02189499600012823,0.0,0.4063824200002273,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[ticker_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,ticker_ablated,holdout,1875,375,0.2,probability,0.2608014567525866,0.5843324444444444,0.20808203514259904,0.60541667836286,0.2109044614414374,1.3494019360000493,0.02907201300001816,0.0,1.3784739490000675,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[identity_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,identity_ablated,holdout,1875,375,0.2,probability,0.2566712288434516,0.5787306666666666,0.2077365493103748,0.6040631724313622,0.20578169179062047,1.3173198319999528,0.03003548500009856,0.0,1.3473553170000514,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[strict_time_series][XGBoost light],XGBoost,feature_policy_sensitivity,strict_time_series,holdout,1875,375,0.2,probability,0.2566712288434516,0.5787306666666666,0.2077365493103748,0.6040631724313622,0.20578169179062047,1.2930036029999883,0.03106875100002071,0.0,1.324072354000009,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
XGBoost[GPU allocation scorer],XGBoost,gpu_boosted_tree,none,holdout,1875,375,0.2,probability,0.25199089221514565,0.5768017777777777,0.1882235356061437,0.9239706154233358,0.16681102434941908,463.40013067199993,0.06985815799998818,0.0,463.4699888299999,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",randomized search on monthly rolling-origin folds; final model fit on all pre-holdout rows
FeatureSensitivity[full][XGBoost light],XGBoost,feature_policy_sensitivity,full,holdout,1875,375,0.2,probability,0.24956974974006194,0.5773155555555555,0.2063021642528362,0.60119566824566,0.20320919243792696,4.031902456000012,0.1819027849999202,0.0,4.213805240999932,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24710879067451433,0.5233937777777777,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.24546715106279854,0.525712,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[12M momentum top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.2438064939418784,0.5311928888888888,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,holdout,1875,375,0.2,probability,0.24031036797905525,0.5546648888888889,0.15924109472314504,0.49819123489416595,0.021488086223602293,461.222613914,0.011756585000057385,0.03003065500001867,461.2644011540001,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",sigmoid calibration fitted on calibration window
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,holdout,1875,375,0.2,probability,0.24031036797905522,0.5546648888888889,0.19017605993461803,0.9909691974273257,0.17339952054677849,461.222613914,0.041410274499980915,0.0,461.2640241885,0.29048106042352967,"{""colsample_bylevel"": 0.7583481287132834, ""colsample_bytree"": 0.8114112306750918, ""gamma"": 0.005561449562041001, ""learning_rate"": 0.06436449192871452, ""max_bin"": 203, ""max_delta_step"": 1, ""max_depth"": 9, ""min_child_weight"": 0.16117298799807434, ""n_estimators"": 1643, ""reg_alpha"": 2.099029267536889e-05, ""reg_lambda"": 0.0692769866023702, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9907797378796789}",base model excludes calibration-window labels
Dummy[Preholdout prior probability],Dummy,baseline,none,holdout,1875,375,0.2,probability,0.2,0.5,0.1600005849496013,0.5004042480213541,,0.0,0.0,0.0,0.0,,,constant prior from pre-holdout label frequency
Rule[Low volatility top-k],Rule,deterministic_rule,none,holdout,1875,375,0.2,raw_score,0.16553332775121618,0.4050151111111111,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
