trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
1,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.5592630224331111}",0.2853432998538941,0.04983983288683616,"[0.26620985042445244, 0.24773982918452395, 0.2034496669524336, 0.3289546264191685, 0.33211056916844905, 0.33359525697433695]",86.5,178.0,"[9, 178, 139, 26, 106, 61]",75,
2,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.729937437271865}",0.2888690041507636,0.037078274907323884,"[0.36145674477459977, 0.24627519258473007, 0.27499351770982433, 0.2919665211062591, 0.2595274532025153, 0.2989945955266533]",25.5,77.0,"[12, 32, 6, 1, 25, 77]",75,
3,"{""colsample_bylevel"": 0.5233328316068078, ""colsample_bytree"": 0.9855655353628026, ""gamma"": 0.0002928863947598484, ""learning_rate"": 0.004389136856236538, ""max_bin"": 690, ""max_delta_step"": 5, ""max_depth"": 8, ""min_child_weight"": 70.69028508408155, ""n_estimators"": 1928, ""reg_alpha"": 2.114233203549714e-05, ""reg_lambda"": 6.478539664840222, ""scale_pos_weight"": 1.0, ""subsample"": 0.7527246633862944}",0.2558408619293897,0.03523169458575874,"[0.31468282247926255, 0.2384065447994037, 0.19869581215521376, 0.27484730616051034, 0.2591640211188657, 0.24924866486308214]",23.333333333333332,88.0,"[21, 16, 2, 9, 88, 4]",75,
4,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.03542386603907951, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 7.786364268056034, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 6.606970206752631, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.6280140940784975}",0.27404260517337614,0.041354775381922164,"[0.29919604814227624, 0.230226466247242, 0.21459465579710146, 0.3378527926916258, 0.2817864226296278, 0.28059924553238336]",42.0,138.0,"[6, 138, 1, 53, 46, 8]",75,
5,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.5748504874729697, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.19555361970422389, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.8315537187516697, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.952672307692442}",0.28850910470725794,0.06074469417277504,"[0.4052631326955909, 0.24484814220287782, 0.24228771840818386, 0.30423738748046436, 0.2265240483765758, 0.3078941990798548]",58.666666666666664,297.0,"[5, 14, 6, 28, 2, 297]",75,
6,"{""colsample_bylevel"": 0.7989499894055425, ""colsample_bytree"": 0.9570308292627143, ""gamma"": 3.610720816945312e-05, ""learning_rate"": 0.006832444467900929, ""max_bin"": 829, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 12.401473873452447, ""n_estimators"": 1278, ""reg_alpha"": 6.326486185661585, ""reg_lambda"": 0.8698504235548351, ""scale_pos_weight"": 1.0, ""subsample"": 0.6134159012386432}",0.26314689914317274,0.032376009114563356,"[0.24483588735381626, 0.24872007425877674, 0.20819161988837104, 0.30252602297312225, 0.28929014042947443, 0.2853176499554757]",23.833333333333332,80.0,"[13, 9, 7, 80, 19, 15]",75,
7,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 16.53499964207631, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 9.200803266908613, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 6.396852137349524, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7113095778449228}",0.26653162811941344,0.04074207304070213,"[0.2749224620303757, 0.21357382550335569, 0.21702847662787023, 0.3110783363699531, 0.31797018504357666, 0.2646164831413492]",52.5,220.0,"[1, 1, 10, 29, 220, 54]",75,
8,"{""colsample_bylevel"": 0.5579345297625649, ""colsample_bytree"": 0.9247068842315764, ""gamma"": 0.08460970744279951, ""learning_rate"": 0.012040625663075235, ""max_bin"": 175, ""max_delta_step"": 10, ""max_depth"": 4, ""min_child_weight"": 3.9224648604296766, ""n_estimators"": 1970, ""reg_alpha"": 0.020207122587167347, ""reg_lambda"": 0.1302607873287156, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9320112209197378}",0.28280650787457245,0.05870603142295628,"[0.37785535608137155, 0.24014914138890214, 0.2210394395710842, 0.3456772342123318, 0.23837150819635083, 0.27374636779739436]",61.166666666666664,312.0,"[20, 14, 4, 312, 13, 4]",75,
9,"{""colsample_bylevel"": 0.8608647605824367, ""colsample_bytree"": 0.5797917058619257, ""gamma"": 0.00041067113892932875, ""learning_rate"": 0.003555235977051182, ""max_bin"": 334, ""max_delta_step"": 1, ""max_depth"": 3, ""min_child_weight"": 1.2783708793589188, ""n_estimators"": 1263, ""reg_alpha"": 0.2850183875843368, ""reg_lambda"": 0.619475118867796, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.6126991544826441}",0.2803985386937639,0.030333088162286047,"[0.31310129124631914, 0.2557295026585759, 0.2377521339102565, 0.3225214164044277, 0.2871622823345159, 0.26612460560848805]",65.66666666666667,136.0,"[136, 92, 34, 46, 75, 11]",75,
10,"{""colsample_bylevel"": 0.8022086896389087, ""colsample_bytree"": 0.7469126002159203, ""gamma"": 0.0001903245747086209, ""learning_rate"": 0.15732586327999207, ""max_bin"": 966, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.16426398423215885, ""n_estimators"": 1997, ""reg_alpha"": 0.2715352993984658, ""reg_lambda"": 53.59745213811555, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9474761165134908}",0.30465271273584765,0.05034787770513518,"[0.3059329105780718, 0.23884849114796455, 0.2663763254751251, 0.38050127049221394, 0.27753103155629255, 0.3587262471654183]",49.333333333333336,160.0,"[1, 11, 3, 160, 120, 1]",75,
