Strategy,Average Weighted ADV USD,Minimum Weighted ADV USD,Average Weighted Spread Proxy Bps,Max Weighted Spread Proxy Bps,Average Turnover-Weighted Participation Bps,Max Turnover-Weighted Participation Bps,Impact Proxy Notional USD
Inverse volatility universe,2709963670.369353,1637471436.979055,87.35746725603413,243.8634204364555,0.3374406040018327,2.3326233650528834,1000000.0
SPY only,35545341739.84786,19137785987.69536,129.27897924207687,535.086091771289,0.5225264827618775,0.5225264827618775,1000000.0
Equal weight universe,3552115736.8471913,1810529856.9935982,130.97607481407744,477.0958705450058,1.4159562735704816,1.4159562735704816,1000000.0
60/40 SPY/TLT,22424733517.932095,11967158248.406002,117.43562646555537,503.7876676268861,1.5090953490960886,1.5090953490960886,1000000.0
12M momentum top-k portfolio,3978338197.224461,784342569.8701127,157.10956114400673,355.4229206306659,2.6071551550207075,17.20290986808144,1000000.0
Rule[6M momentum top-k] | inverse-vol capped top-k,4262746729.3980584,707657567.7058461,136.2625038108116,246.47124125305942,4.060514898883963,41.39714200623581,1000000.0
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,3126589725.1987414,846572795.0034854,153.58130812537559,235.3270158839181,4.123230172620431,25.51632585700189,1000000.0
Rule[6M momentum top-k],4101321733.9162045,729308536.5105469,150.91855261008575,295.4466832794891,4.195589496819504,34.83706929159087,1000000.0
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,3081867428.4615855,573696206.4118621,178.34633961513362,295.1017372158117,4.509385162459525,74.6832617279858,1000000.0
TabPFN[Direct allocation scorer] Calibration Base,3014938416.9465756,814815397.1908951,169.2286852793158,303.57892909634984,4.530895428703273,27.24986584132965,1000000.0
TabPFN[Direct allocation scorer],3002044570.501133,639708013.0672243,187.18300634157666,310.71407130079655,4.876886922856442,63.092463158712135,1000000.0
XGBoost[GPU allocation scorer],1906209191.098482,627821987.1891894,158.49390801908982,293.9862756734991,4.988638981884955,29.071015895328117,1000000.0
Rule[Risk-adjusted momentum top-k],3891584027.7697754,714093889.5511355,148.38379729334247,305.6745082625183,5.319352606195596,63.524849774604554,1000000.0
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,1949937239.4663148,641052160.6404983,148.40930018701405,224.11214753991842,5.324995831343156,37.43419668904648,1000000.0
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,4102482458.8863525,660675751.2726523,134.8632604432115,246.47124125305942,5.887227471032058,87.29317031362388,1000000.0
Low volatility top-k portfolio,1842904828.8791983,814880771.0303328,50.38607916208445,198.18266277784156,6.730792218130792,44.893407625690074,1000000.0
XGBoost[GPU allocation scorer] Calibrated,1378539654.0975032,580411115.5135206,160.6127253677482,262.1705122266474,6.855025464391909,30.19166684193056,1000000.0
XGBoost[GPU allocation scorer] Calibration Base,1378539654.0975032,580411115.5135206,160.6127253677482,262.1705122266474,6.855025464391909,30.19166684193056,1000000.0
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,1353228752.0087037,550075134.7897714,150.72647519546314,248.1150232782018,7.798822030776284,43.877982608659096,1000000.0
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,1353228752.0087037,550075134.7897714,150.72647519546314,248.1150232782018,7.798822030776284,43.877982608659096,1000000.0
